Processor,Rating,Antutu_Score,Geekbench_Min,Geekbench_Max,Cores,Clock_Speed
Qualcomm Snapdragon 4s Gen 2,33,376951,825,1869,8,2000
MediaTek Dimensity 6100 Plus,33,392912,728,1938,8,2200
MediaTek Dimensity 6020,33,404064,732,1924,8,2200
MediaTek Helio G99,33,420891,729,1979,8,2200
Qualcomm Snapdragon 480 Plus,33,390749,862,1857,8,2200
Qualcomm Snapdragon 732G,33,399096,747,1843,8,2300
MediaTek Dimensity 800U,33,433106,752,1836,8,2400
MediaTek Dimensity 720,33,388163,770,1844,8,2000
Qualcomm Snapdragon 720G,33,389169,750,1774,8,2300
Kirin 810,33,429415,770,1983,8,2270
Qualcomm Snapdragon 480,32,356931,693,1802,8,2000
MediaTek Dimensity 700,32,387201,711,1783,8,2200
Qualcomm Snapdragon 690,32,382798,792,1889,8,2000
Qualcomm Snapdragon 730G,32,376385,697,1809,8,2200
Exynos 9810,32,468048,559,1840,8,2900
Qualcomm Snapdragon 685,31,347813,473,1510,8,2800
Qualcomm Snapdragon 730,31,358532,691,1629,8,2200
MediaTek Helio G96,30,383671,645,1855,8,2050
MediaTek Helio G95,30,409894,636,1738,8,2050
MediaTek Helio G90,30,368990,625,1744,8,2050
MediaTek Helio G90T,30,369361,649,1835,8,2050
A10 Fusion,30,385540,878,1319,4,2340
Qualcomm Snapdragon 680,29,308738,412,1444,8,2400
Qualcomm Snapdragon 678,29,337821,680,1556,8,2200
Qualcomm Snapdragon 712,29,314968,446,1436,8,2300
Qualcomm Snapdragon 835,29,368607,415,1508,8,2450
Qualcomm Snapdragon 675,28,314867,671,1695,8,2000
Kirin 970,28,353467,383,1373,8,2360
Exynos 8895,28,372105,418,1429,8,2314
Unisoc T620,27,336384,497,1541,8,2200
MediaTek Helio P95,27,299534,456,1541,8,2200
Qualcomm Snapdragon 710,27,305175,445,1352,8,2200
MediaTek Helio G92 Max,26,265388,441,1407,8,2000
MediaTek Helio G81,26,260675,420,1391,8,2000
MediaTek Helio G91,26,277388,429,1389,8,2000
Unisoc T618,26,281958,469,1456,8,2000
Apple A9,26,332764,619,953,2,1850
Qualcomm Snapdragon 670,26,250172,381,1239,8,2000
MediaTek Helio P90,26,300868,414,1373,8,2200
Unisoc T615,25,267410,441,1454,8,1800
Unisoc T612,25,244837,422,1509,8,1800
Unisoc T616,25,292658,452,1503,8,2000
MediaTek Helio G88,25,269607,425,1355,8,2000
Unisoc T700,25,260484,429,1434,8,1820
MediaTek Helio G85,25,264823,413,1332,8,2000
Qualcomm Snapdragon 662,25,244733,339,1208,8,2000
MediaTek Helio G80,25,246838,416,1354,8,2000
MediaTek Helio G70,25,246700,417,1345,8,2000
Exynos 9611,25,259746,370,1103,8,2300
Qualcomm Snapdragon 665,25,235828,335,1166,8,2000
Unisoc T606,24,246105,371,1391,8,1600
Unisoc T610,24,250277,418,1305,8,1820
Kirin 710F,24,251701,352,1244,8,2200
MediaTek Helio P65,24,214269,375,1186,8,2000
Kirin 710A,23,238420,319,1125,8,2000
Exynos 850,23,185374,222,868,8,2000
Qualcomm Snapdragon 460,23,196586,272,992,8,1800
MediaTek Helio P70,23,233983,329,1066,8,2100
Kirin 710,23,249206,354,1193,8,2200
Qualcomm Snapdragon 821,23,263454,390,792,4,2342
Kirin 960,23,289944,406,1380,8,2360
Exynos 8890,23,299737,321,885,8,2300
Exynos 9610,23,259923,373,1042,8,2300
MediaTek Helio G36,22,140941,229,842,8,2200
MediaTek Helio G37,22,152974,205,911,8,2300
MediaTek Helio G35,22,145425,189,810,8,2300
MediaTek Helio P60,22,186518,299,1155,8,2000
Qualcomm Snapdragon 660,22,251675,342,1232,8,2200
MediaTek Helio P35,22,147439,260,812,8,2300
Qualcomm Snapdragon 632,22,182478,295,1037,8,1800
MediaTek Helio G25,21,125125,185,521,8,2000
Qualcomm Snapdragon 820,21,259958,323,821,4,2150
Exynos 7904,21,187120,286,937,8,1800
